Ref,Val,Package,PosX,PosY,Rot,Side
"RUV1","19.6M 1%","R_1206_3216Metric",10.000000,-26.500000,0.000000,top
"RUV2","133k 1%","R_0603_1608Metric",14.000000,-26.500000,0.000000,top
"RUV3","162k 1%","R_0603_1608Metric",18.000000,-30.500000,0.000000,top
"U1","LTC4368HMS-2","MSOP-10_3x3mm_P0.5mm",34.500000,-27.700000,0.000000,top
"U2","18-75V TO 12V 240W ISO","Delta_Q36SR_QuarterBrick",68.000000,-26.000000,0.000000,top
"U3","TPS26633RGE","TPS26633_RGE24",111.825000,-11.825000,0.000000,top
"U4","RPL-5.0 3V3/5A","RPL-5.0_QFN24",88.825000,-49.825000,0.000000,top
"U5","CH32V307VCT6","LQFP-100_14x14mm_P0.5mm",106.000000,-103.000000,0.000000,top
"U6","ISO1042DW","ISO1042_DW16_HV",135.000000,-40.000000,0.000000,top
"U7","3V3-5V ISO 1W","Murata_NXF1_MC",135.500000,-24.000000,0.000000,top
"U8","ESTOP DIAGNOSTIC OPTO","SOIC-16W_7.5x10.3mm_P1.27mm",53.000000,-91.000000,0.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",92.000000,-103.000000,0.000000,top
